row_index,event_key,company,ticker,year,quarter,correctable,prior_closing_date,prior_close,next_opening_date,next_day_open,release_date,release_timing,release_date_source,entry_shifted_vs_legacy,report_date_corrected,original_prior_close,original_next_day_open,price_delta_flag,not_correctable_reason
300,Booking Holdings|2025|Q4,Booking Holdings,BKNG,2025,Q4,TRUE,2026-02-18,170.7996,2026-02-19,163.55,2026-02-18,after_hours,returns_matrix.csv,FALSE,YES,170.8,163.55,NO,
301,Broadcom|2026|Q1,Broadcom,AVGO,2026,Q1,TRUE,2026-03-04,317.53,2026-03-05,330.18,2026-03-04,after_hours,returns_matrix.csv,FALSE,YES,317.53,330.18,NO,
302,Broadcom|2025|Q3,Broadcom,AVGO,2025,Q3,TRUE,2025-09-04,306.1,2025-09-05,355.78,2025-09-04,after_hours,returns_matrix.csv,FALSE,YES,306.1,355.78,NO,
303,Broadcom|2025|Q4,Broadcom,AVGO,2025,Q4,TRUE,2025-12-11,406.37,2025-12-12,379.96,2025-12-11,after_hours,returns_matrix.csv,FALSE,YES,406.37,379.96,NO,
304,Costco|2026|Q1,Costco,COST,2026,Q1,FALSE,,,,,,,,,NO,884.48,883.3,,"human-only event; not in LLM returns_matrix — EDGAR lookup deferred, manual verification required"
305,Costco|2026|Q2,Costco,COST,2026,Q2,FALSE,,,,,,,,,NO,982.57,967.01,,"human-only event; not in LLM returns_matrix — EDGAR lookup deferred, manual verification required"
306,Costco|2025|Q4,Costco,COST,2025,Q4,FALSE,,,,,,,,,NO,943.31,925.55,,"human-only event; not in LLM returns_matrix — EDGAR lookup deferred, manual verification required"
307,Oracle|2026|Q1,Oracle,ORCL,2026,Q1,TRUE,2025-09-09,241.51,2025-09-10,319.19,2025-09-09,after_hours,returns_matrix.csv,FALSE,YES,241.51,319.19,NO,
308,Oracle|2026|Q2,Oracle,ORCL,2026,Q2,TRUE,2025-12-10,223.01,2025-12-11,190.62,2025-12-10,after_hours,returns_matrix.csv,FALSE,YES,223.01,190.62,NO,
309,Oracle|2026|Q3,Oracle,ORCL,2026,Q3,TRUE,2026-03-10,149.4,2026-03-11,166.38,2026-03-10,after_hours,returns_matrix.csv,FALSE,YES,149.4,166.38,NO,
310,Starbucks|2026|Q1,Starbucks,SBUX,2026,Q1,TRUE,2026-01-28,95.16,2026-01-29,96.76,2026-01-28,after_hours,returns_matrix.csv,TRUE,YES,95.72,102.3,YES,
311,Starbucks|2025|Q3,Starbucks,SBUX,2025,Q3,TRUE,2025-07-29,92.96,2025-07-30,97.83,2025-07-29,after_hours,returns_matrix.csv,FALSE,YES,92.96,97.83,NO,
312,Starbucks|2025|Q4,Starbucks,SBUX,2025,Q4,TRUE,2025-10-29,84.17,2025-10-30,82.23,2025-10-29,after_hours,returns_matrix.csv,FALSE,YES,84.17,82.23,NO,
313,Caterpillar|2025|Q2,Caterpillar,CAT,2025,Q2,TRUE,2025-08-04,433.7,2025-08-05,427.65,2025-08-05,pre_market,returns_matrix.csv,FALSE,YES,433.7,427.65,NO,
314,Caterpillar|2025|Q3,Caterpillar,CAT,2025,Q3,TRUE,2025-10-28,524.47,2025-10-29,558.18,2025-10-29,pre_market,returns_matrix.csv,FALSE,YES,524.47,558.18,NO,
315,Caterpillar|2025|Q4,Caterpillar,CAT,2025,Q4,TRUE,2026-01-28,643.28,2026-01-29,655.17,2026-01-29,pre_market,returns_matrix.csv,FALSE,YES,643.28,655.17,NO,
316,Micron|2026|Q1,Micron,MU,2026,Q1,TRUE,2025-12-17,225.52,2025-12-18,256.53,2025-12-17,after_hours,returns_matrix.csv,FALSE,YES,225.52,256.53,NO,
317,Micron|2026|Q2,Micron,MU,2026,Q2,TRUE,2026-03-18,461.73,2026-03-19,424.97,2026-03-18,after_hours,returns_matrix.csv,FALSE,YES,461.73,424.97,NO,
318,Micron|2025|Q4,Micron,MU,2025,Q4,TRUE,2025-09-23,166.41,2025-09-24,165.08,2025-09-23,after_hours,returns_matrix.csv,FALSE,YES,166.41,165.08,NO,
