scope,dropped_key,n_dropped,n_remaining_trades,total_return_pct,delta_total_return_pct,avg_net_per_trade_pct,hit_rate,hit_rate_delta
EVENT,PLTR 2026-02-02,1,170,1123.61,-141.94,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,LULU 2026-06-04,1,170,1124.71,-140.84,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,ORCL 2026-03-10,1,170,1127.24,-138.31,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,META 2025-10-29,1,170,1131.56,-133.99,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,NFLX 2026-04-16,1,170,1135.9,-129.65,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,META 2026-01-28,1,170,1139.49,-126.06,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,MU 2026-03-18,1,170,1385.26,119.71,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,EXPE 2025-05-08,1,170,1145.94,-119.61,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,ABNB 2026-02-12,1,170,1153.37,-112.18,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,AMZN 2026-02-05,1,170,1154.18,-111.37,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,IBM 2025-07-23,1,170,1375.63,110.08,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,PLTR 2025-11-03,1,170,1374.52,108.97,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,NVO 2025-08-06,1,170,1366.6,101.05,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,IBM 2026-01-28,1,170,1164.87,-100.68,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,EXPE 2026-02-12,1,170,1365.34,99.79,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,MET 2024-10-30,1,170,1166.16,-99.39,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,DIS 2025-11-12,1,170,1364.4,98.85,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,AVGO 2025-12-11,1,170,1362.04,96.49,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,CRM 2025-09-03,1,170,1360.33,94.78,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,META 2026-04-29,1,170,1172.17,-93.38,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,GOOGL 2026-02-04,1,170,1358.14,92.59,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,NKE 2025-03-20,1,170,1173.36,-92.19,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,CMCSA 2025-04-23,1,170,1174.9,-90.65,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,LLY 2026-02-03,1,170,1175.74,-89.81,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,WDAY 2025-08-21,1,170,1354.57,89.02,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,NKE 2024-10-01,1,170,1177.41,-88.14,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,PLTR 2025-08-04,1,170,1178.13,-87.42,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,FDX 2026-03-19,1,170,1178.13,-87.42,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,CVS 2025-10-29,1,170,1348.24,82.69,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,AMKBY 2025-11-05,1,170,1347.48,81.93,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,CAT 2025-10-28,1,170,1184.26,-81.29,n/a (fast-path),n/a (fast-path),n/a (fast-path)
