company,ticker,year,quarter,event_key,us_non_us,folder_path,filename,doc_types_needed,manifest_exists,docs_on_disk
Mastercard,MA,2025,Q3,MA_FQ3_2025,US,docs/mastercard/CY2025-Q3/,MA_Q3_2025_Press_Release.htm,Press Release,NO,NO
Mastercard,MA,2025,Q4,MA_FQ4_2025,US,docs/mastercard/CY2025-Q4/,MA_Q4_2025_Press_Release.htm,Press Release,NO,NO
Mastercard,MA,2026,Q1,MA_FQ1_2026,US,docs/mastercard/CY2026-Q1/,MA_Q1_2026_Press_Release.htm,Press Release,NO,NO
Nestle,NSRGY,2024,Q3,NSRGY_FQ3_2024,non-US,docs/nestle/CY2024-Q3/,NSRGY_Q3_2024_Press_Release.htm,Press Release,NO,NO
Nestle,NSRGY,2026,Q1,NSRGY_FQ1_2026,non-US,docs/nestle/CY2026-Q1/,NSRGY_Q1_2026_Press_Release.htm,Press Release,NO,NO
Hermes,RMSP.XC,2025,Q1,RMS_FQ1_2025,non-US,docs/hermes/CY2025-Q1/,RMS_Q1_2025_Press_Release.htm,Press Release,NO,NO
Hermes,RMSP.XC,2025,Q2,RMS_FQ2_2025,non-US,docs/hermes/CY2025-Q2/,RMS_Q2_2025_Press_Release.htm,Press Release,NO,NO
Hermes,RMSP.XC,2025,Q3,RMS_FQ3_2025,non-US,docs/hermes/CY2025-Q3/,RMS_Q3_2025_Press_Release.htm,Press Release,NO,NO
Hermes,RMSP.XC,2025,Q4,RMS_FQ4_2025,non-US,docs/hermes/CY2025-Q4/,RMS_Q4_2025_Press_Release.htm,Press Release,NO,NO
Shell,SHEL,2025,Q2,SHEL_FQ2_2025,non-US,docs/shell/CY2025-Q2/,SHEL_Q2_2025_Press_Release.htm,Press Release,NO,NO
Shell,SHEL,2025,Q3,SHEL_FQ3_2025,non-US,docs/shell/CY2025-Q3/,SHEL_Q3_2025_Press_Release.htm,Press Release,NO,NO
Shell,SHEL,2025,Q4,SHEL_FQ4_2025,non-US,docs/shell/CY2025-Q4/,SHEL_Q4_2025_Press_Release.htm,Press Release,NO,NO
Shell,SHEL,2026,Q1,SHEL_FQ1_2026,non-US,docs/shell/CY2026-Q1/,SHEL_Q1_2026_Press_Release.htm,Press Release,NO,NO
Shopify,SHOP,2025,Q3,SHOP_FQ3_2025,US,docs/shopify/CY2025-Q3/,SHOP_Q3_2025_Press_Release.htm,Press Release,NO,NO
Shopify,SHOP,2025,Q4,SHOP_FQ4_2025,US,docs/shopify/CY2025-Q4/,SHOP_Q4_2025_Press_Release.htm,Press Release,NO,NO
Shopify,SHOP,2026,Q1,SHOP_FQ1_2026,US,docs/shopify/CY2026-Q1/,SHOP_Q1_2026_Press_Release.htm,Press Release,NO,NO
Sony,SONY,2025,Q2,SONY_FQ2_2025,non-US,docs/sony/CY2025-Q2/,SONY_Q2_2025_Press_Release.htm,Press Release,NO,NO
Sony,SONY,2025,Q3,SONY_FQ3_2025,non-US,docs/sony/CY2025-Q3/,SONY_Q3_2025_Press_Release.htm,Press Release,NO,NO
Sony,SONY,2026,Q1,SONY_FQ1_2026,non-US,docs/sony/CY2026-Q1/,SONY_Q1_2026_Press_Release.htm,Press Release,NO,NO
Union Pacific,UNP,2025,Q2,UNP_FQ2_2025,US,docs/union_pacific/CY2025-Q2/,UNP_Q2_2025_Press_Release.htm,Press Release,NO,NO
Union Pacific,UNP,2025,Q3,UNP_FQ3_2025,US,docs/union_pacific/CY2025-Q3/,UNP_Q3_2025_Press_Release.htm,Press Release,NO,NO
Union Pacific,UNP,2025,Q4,UNP_FQ4_2025,US,docs/union_pacific/CY2025-Q4/,UNP_Q4_2025_Press_Release.htm,Press Release,NO,NO
Union Pacific,UNP,2026,Q1,UNP_FQ1_2026,US,docs/union_pacific/CY2026-Q1/,UNP_Q1_2026_Press_Release.htm,Press Release,NO,NO
ExxonMobil,XOM,2023,Q1,XOM_FQ1_2023,US,docs/exxonmobil/CY2023-Q1/,XOM_Q1_2023_Press_Release.htm,Press Release,NO,NO
ExxonMobil,XOM,2023,Q2,XOM_FQ2_2023,US,docs/exxonmobil/CY2023-Q2/,XOM_Q2_2023_Press_Release.htm,Press Release,NO,NO
ExxonMobil,XOM,2023,Q3,XOM_FQ3_2023,US,docs/exxonmobil/CY2023-Q3/,XOM_Q3_2023_Press_Release.htm,Press Release,NO,NO
ExxonMobil,XOM,2023,Q4,XOM_FQ4_2023,US,docs/exxonmobil/CY2023-Q4/,XOM_Q4_2023_Press_Release.htm,Press Release,NO,NO
ExxonMobil,XOM,2024,Q1,XOM_FQ1_2024,US,docs/exxonmobil/CY2024-Q1/,XOM_Q1_2024_Press_Release.htm,Press Release,NO,NO
ExxonMobil,XOM,2024,Q2,XOM_FQ2_2024,US,docs/exxonmobil/CY2024-Q2/,XOM_Q2_2024_Press_Release.htm,Press Release,NO,NO
ExxonMobil,XOM,2024,Q3,XOM_FQ3_2024,US,docs/exxonmobil/CY2024-Q3/,XOM_Q3_2024_Press_Release.htm,Press Release,NO,NO
ExxonMobil,XOM,2024,Q4,XOM_FQ4_2024,US,docs/exxonmobil/CY2024-Q4/,XOM_Q4_2024_Press_Release.htm,Press Release,NO,NO
ExxonMobil,XOM,2025,Q1,XOM_FQ1_2025,US,docs/exxonmobil/CY2025-Q1/,XOM_Q1_2025_Press_Release.htm,Press Release,NO,NO
ExxonMobil,XOM,2025,Q2,XOM_FQ2_2025,US,docs/exxonmobil/CY2025-Q2/,XOM_Q2_2025_Press_Release.htm,Press Release,NO,NO
ExxonMobil,XOM,2025,Q3,XOM_FQ3_2025,US,docs/exxonmobil/CY2025-Q3/,XOM_Q3_2025_Press_Release.htm,Press Release,NO,NO
ExxonMobil,XOM,2025,Q4,XOM_FQ4_2025,US,docs/exxonmobil/CY2025-Q4/,XOM_Q4_2025_Press_Release.htm,Press Release,NO,NO
ExxonMobil,XOM,2026,Q1,XOM_FQ1_2026,US,docs/exxonmobil/CY2026-Q1/,XOM_Q1_2026_Press_Release.htm,Press Release,NO,NO
