document_id,ticker,issuer,report_date,press_release,prepared_remarks,guidance,qa,doc_types_present,notes
NFLX_FQ3_2025,NFLX,p2_netflix,2025-10-21,absent,available,partial,available,EARNINGS DOCUMENT; EARNINGS CALL TRANSCRIPT,Motley Fool/Insider Monkey; Human worksheet included
NFLX_FQ4_2024,NFLX,p2_netflix,2025-01-21,absent,available,partial,available,EARNINGS DOCUMENT; EARNINGS CALL TRANSCRIPT,Motley Fool/Insider Monkey; Human worksheet included
NFLX_FQ4_2025,NFLX,p2_netflix,2026-01-20,absent,available,partial,available,EARNINGS DOCUMENT; EARNINGS DOCUMENT; EARNINGS CALL TRANSCRIPT,Motley Fool/Insider Monkey; Human worksheet included
TGT_FQ1_2025,TGT,p2_target,2025-05-21,available,available,partial,available,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,Other transcript
TGT_FQ1_2026,TGT,p2_target,2026-05-20,available,available,partial,available,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,Other transcript
TGT_FQ2_2025,TGT,p2_target,2025-08-20,available,available,partial,available,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,Other transcript
TGT_FQ3_2025,TGT,p2_target,2025-11-19,available,available,partial,available,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,Other transcript
BCS_FQ1_2026,BCS,p2_barclays,2026-04-28,available,available,partial,available,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,Other transcript
BCS_FQ2_2025,BCS,p2_barclays,2025-07-29,available,available,partial,available,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,Other transcript
BCS_FQ3_2025,BCS,p2_barclays,2025-10-22,available,available,partial,available,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,Other transcript
F_FQ1_2026,F,p2_ford,2026-04-29,available,available,partial,available,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,Other transcript
F_FQ2_2025,F,p2_ford,2025-07-30,available,available,partial,available,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,Other transcript
F_FQ4_2025,F,p2_ford,2026-02-10,available,available,partial,available,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,Other transcript
MSFT_FQ1_2025,MSFT,p2_microsoft,2024-10-30,absent,available,partial,available,EARNINGS DOCUMENT; EARNINGS CALL TRANSCRIPT,Motley Fool/Insider Monkey; Human worksheet included
MSFT_FQ1_2026,MSFT,p2_microsoft,2025-10-29,absent,available,partial,available,EARNINGS DOCUMENT; EARNINGS CALL TRANSCRIPT,Motley Fool/Insider Monkey; Human worksheet included
MSFT_FQ2_2025,MSFT,p2_microsoft,2025-01-29,absent,available,partial,available,EARNINGS DOCUMENT; EARNINGS CALL TRANSCRIPT,Motley Fool/Insider Monkey; Human worksheet included
PFE_FQ1_2025,PFE,p2_pfizer,2025-04-28,available,available,partial,available,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,Other transcript
PFE_FQ1_2026,PFE,p2_pfizer,2026-05-04,available,available,partial,available,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,Other transcript
PFE_FQ2_2025,PFE,p2_pfizer,2025-08-04,available,available,partial,available,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,Other transcript
PFE_FQ4_2025,PFE,p2_pfizer,2026-02-02,available,available,partial,available,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,Other transcript
UAL_FQ1_2025,UAL,p2_united_airlines,2025-04-15,absent,available,partial,available,EARNINGS DOCUMENT; EARNINGS DOCUMENT; EARNINGS CALL TRANSCRIPT; EARNINGS DOCUMENT,Other transcript; Human worksheet included
UAL_FQ2_2025,UAL,p2_united_airlines,2025-07-16,absent,available,partial,available,EARNINGS DOCUMENT; EARNINGS DOCUMENT; EARNINGS CALL TRANSCRIPT; EARNINGS DOCUMENT,Other transcript; Human worksheet included
UAL_FQ3_2025,UAL,p2_united_airlines,2025-10-15,absent,available,partial,available,EARNINGS CALL TRANSCRIPT; EARNINGS DOCUMENT; EARNINGS DOCUMENT,Other transcript; Human worksheet included
UAL_FQ4_2025,UAL,p2_united_airlines,2026-01-20,absent,available,partial,available,EARNINGS CALL TRANSCRIPT; EARNINGS DOCUMENT,Other transcript; Human worksheet included
PEP_FQ1_2023,PEP,p2_pepsico,2023-04-25,available,available,partial,available,PRESS RELEASE; EARNINGS CALL TRANSCRIPT,Motley Fool/Insider Monkey
PEP_FQ1_2024,PEP,p2_pepsico,2024-04-23,available,absent,partial,absent,PRESS RELEASE,No transcript
PEP_FQ1_2025,PEP,p2_pepsico,2025-04-24,available,available,partial,available,PRESS RELEASE; EARNINGS CALL TRANSCRIPT,Motley Fool/Insider Monkey
PEP_FQ1_2026,PEP,p2_pepsico,2026-04-16,available,available,partial,available,PRESS RELEASE; EARNINGS CALL TRANSCRIPT,Motley Fool/Insider Monkey
PEP_FQ2_2023,PEP,p2_pepsico,2023-07-13,available,available,partial,available,PRESS RELEASE; EARNINGS CALL TRANSCRIPT,Motley Fool/Insider Monkey
PEP_FQ2_2024,PEP,p2_pepsico,2024-07-11,available,available,partial,available,PRESS RELEASE; EARNINGS CALL TRANSCRIPT,Motley Fool/Insider Monkey
PEP_FQ2_2025,PEP,p2_pepsico,2025-07-17,available,available,partial,available,PRESS RELEASE; EARNINGS CALL TRANSCRIPT,Motley Fool/Insider Monkey
PEP_FQ2_2026,PEP,p2_pepsico,2026-07-09,available,available,partial,available,PRESS RELEASE; EARNINGS CALL TRANSCRIPT,Motley Fool/Insider Monkey
PEP_FQ3_2023,PEP,p2_pepsico,2023-10-10,available,available,partial,available,PRESS RELEASE; EARNINGS CALL TRANSCRIPT,Motley Fool/Insider Monkey
PEP_FQ3_2024,PEP,p2_pepsico,2024-10-08,available,available,partial,available,PRESS RELEASE; EARNINGS CALL TRANSCRIPT,Motley Fool/Insider Monkey
PEP_FQ3_2025,PEP,p2_pepsico,2025-10-09,available,available,partial,available,PRESS RELEASE; EARNINGS CALL TRANSCRIPT,Motley Fool/Insider Monkey
PEP_FQ4_2023,PEP,p2_pepsico,2024-02-09,available,available,partial,available,PRESS RELEASE; EARNINGS CALL TRANSCRIPT,Motley Fool/Insider Monkey
PEP_FQ4_2024,PEP,p2_pepsico,2025-02-04,available,available,partial,available,PRESS RELEASE; EARNINGS CALL TRANSCRIPT,Motley Fool/Insider Monkey
PEP_FQ4_2025,PEP,p2_pepsico,2026-02-03,available,available,partial,available,PRESS RELEASE; EARNINGS CALL TRANSCRIPT,Motley Fool/Insider Monkey
FDX_FQ1_2026,FDX,p2_fedex,2025-09-18,available,available,partial,available,PRESS RELEASE; EARNINGS CALL TRANSCRIPT,Other transcript
FDX_FQ2_2026,FDX,p2_fedex,2025-12-18,available,available,partial,available,PRESS RELEASE; EARNINGS CALL TRANSCRIPT,Other transcript
FDX_FQ3_2026,FDX,p2_fedex,2026-03-19,available,available,partial,available,PRESS RELEASE; EARNINGS CALL TRANSCRIPT,Other transcript
FDX_FQ4_2026,FDX,p2_fedex,2026-06-23,available,available,partial,available,PRESS RELEASE; EARNINGS CALL TRANSCRIPT,Other transcript
LMT_FQ1_2025,LMT,p2_lockheed_martin,2025-04-22,available,available,partial,available,PRESS RELEASE; EARNINGS CALL TRANSCRIPT,Motley Fool/Insider Monkey
LMT_FQ2_2025,LMT,p2_lockheed_martin,2025-07-22,available,available,partial,available,PRESS RELEASE; EARNINGS CALL TRANSCRIPT,Motley Fool/Insider Monkey
LMT_FQ3_2025,LMT,p2_lockheed_martin,2025-10-21,available,available,partial,available,PRESS RELEASE; EARNINGS CALL TRANSCRIPT,Motley Fool/Insider Monkey
LMT_FQ4_2025,LMT,p2_lockheed_martin,2026-01-29,available,available,partial,available,PRESS RELEASE; EARNINGS CALL TRANSCRIPT,Motley Fool/Insider Monkey
NVO_FQ1_2025,NVO,p2_novo_nordisk,2025-05-07,available,available,partial,available,PRESS RELEASE; EARNINGS CALL TRANSCRIPT,Motley Fool/Insider Monkey
NVO_FQ2_2025,NVO,p2_novo_nordisk,2025-08-06,available,available,partial,available,PRESS RELEASE; EARNINGS CALL TRANSCRIPT,Motley Fool/Insider Monkey
NVO_FQ3_2025,NVO,p2_novo_nordisk,2025-11-05,available,available,partial,available,PRESS RELEASE; EARNINGS CALL TRANSCRIPT,Motley Fool/Insider Monkey
NVO_FQ4_2025,NVO,p2_novo_nordisk,2026-02-03,available,available,partial,available,PRESS RELEASE; EARNINGS CALL TRANSCRIPT; INVESTOR PRESENTATION,Motley Fool/Insider Monkey
HLT_FQ1_2025,HLT,p2_hilton,2025-04-29,available,available,partial,available,PRESS RELEASE; EARNINGS CALL TRANSCRIPT,Other transcript
HLT_FQ1_2026,HLT,p2_hilton,2026-04-28,available,available,partial,available,PRESS RELEASE; EARNINGS CALL TRANSCRIPT,Motley Fool/Insider Monkey
HLT_FQ2_2025,HLT,p2_hilton,2025-07-23,available,available,partial,available,PRESS RELEASE; EARNINGS CALL TRANSCRIPT,Motley Fool/Insider Monkey
HLT_FQ3_2024,HLT,p2_hilton,2024-10-23,available,available,partial,available,PRESS RELEASE; EARNINGS CALL TRANSCRIPT,Motley Fool/Insider Monkey
HLT_FQ4_2025,HLT,p2_hilton,2026-02-11,available,available,partial,available,PRESS RELEASE; EARNINGS CALL TRANSCRIPT,Motley Fool/Insider Monkey
MC.PA_FQ2_2025,MC.PA,p2_lvmh,2025-07-24,available,absent,partial,absent,PRESS RELEASE,No transcript
MC.PA_FQ4_2025,MC.PA,p2_lvmh,2026-01-27,available,absent,partial,absent,PRESS RELEASE; RESULTS PRESENTATION,No transcript
MAR_FQ1_2026,MAR,p2_marriott,2026-05-06,available,available,partial,available,PRESS RELEASE; EARNINGS CALL TRANSCRIPT,Motley Fool/Insider Monkey
MAR_FQ2_2025,MAR,p2_marriott,2025-08-05,available,available,partial,available,PRESS RELEASE; EARNINGS CALL TRANSCRIPT,Motley Fool/Insider Monkey
MAR_FQ3_2025,MAR,p2_marriott,2025-11-04,available,available,partial,available,PRESS RELEASE; EARNINGS CALL TRANSCRIPT,Motley Fool/Insider Monkey
MAR_FQ4_2025,MAR,p2_marriott,2026-02-10,available,available,partial,available,PRESS RELEASE; EARNINGS CALL TRANSCRIPT,Motley Fool/Insider Monkey
ALV.DE_FQ1_2025,ALV.DE,p2_allianz,2025-05-15,available,absent,partial,absent,PRESS RELEASE; EARNINGS PRESENTATION; PRESS RELEASE (PDF DUPLICATE),No transcript
GOOGL_FQ1_2026,GOOGL,p2_alphabet,2026-04-29,available,available,partial,available,PRESS RELEASE; EARNINGS PRESENTATION; EARNINGS CALL TRANSCRIPT,Motley Fool/Insider Monkey
GOOGL_FQ3_2025,GOOGL,p2_alphabet,2025-10-29,available,available,partial,available,PRESS RELEASE; EARNINGS PRESENTATION; EARNINGS CALL TRANSCRIPT,Motley Fool/Insider Monkey
GOOGL_FQ4_2025,GOOGL,p2_alphabet,2026-02-04,available,available,partial,available,PRESS RELEASE; EARNINGS PRESENTATION; EARNINGS CALL TRANSCRIPT,Motley Fool/Insider Monkey
BKNG_FQ2_2025,BKNG,p2_booking_holdings,2025-07-29,available,absent,partial,absent,PRESS RELEASE; EARNINGS PRESENTATION,No transcript
BKNG_FQ3_2025,BKNG,p2_booking_holdings,2025-10-28,available,available,partial,available,PRESS RELEASE; EARNINGS CALL TRANSCRIPT,FactSet
BKNG_FQ4_2025,BKNG,p2_booking_holdings,2026-02-18,available,available,partial,available,PRESS RELEASE; EARNINGS CALL TRANSCRIPT,FactSet
AVGO_FQ1_2026,AVGO,p2_broadcom,2026-03-04,available,available,partial,available,PRESS RELEASE; EARNINGS PRESENTATION; EARNINGS CALL TRANSCRIPT,Motley Fool/Insider Monkey
AVGO_FQ3_2025,AVGO,p2_broadcom,2025-09-04,available,available,partial,available,PRESS RELEASE; EARNINGS PRESENTATION; EARNINGS CALL TRANSCRIPT,Motley Fool/Insider Monkey
AVGO_FQ4_2025,AVGO,p2_broadcom,2025-12-11,available,available,partial,available,PRESS RELEASE; EARNINGS PRESENTATION; EARNINGS CALL TRANSCRIPT,Motley Fool/Insider Monkey
CAT_FQ2_2025,CAT,p2_caterpillar,2025-08-04,available,available,partial,available,PRESS RELEASE; EARNINGS PRESENTATION; EARNINGS CALL TRANSCRIPT,Other transcript
CAT_FQ3_2025,CAT,p2_caterpillar,2025-10-28,available,available,partial,available,PRESS RELEASE; EARNINGS PRESENTATION; EARNINGS CALL TRANSCRIPT,Other transcript
CAT_FQ4_2025,CAT,p2_caterpillar,2026-01-28,available,available,partial,available,PRESS RELEASE; EARNINGS PRESENTATION; EARNINGS CALL TRANSCRIPT,Other transcript
CMG_FQ1_2025,CMG,p2_chipotle,2025-04-23,available,available,partial,available,PRESS RELEASE; EARNINGS CALL TRANSCRIPT,Motley Fool/Insider Monkey
CMG_FQ2_2025,CMG,p2_chipotle,2025-07-23,available,available,partial,available,PRESS RELEASE; EARNINGS CALL TRANSCRIPT,Motley Fool/Insider Monkey
CMG_FQ3_2025,CMG,p2_chipotle,2025-10-29,available,available,partial,available,PRESS RELEASE; EARNINGS CALL TRANSCRIPT,Motley Fool/Insider Monkey
CMG_FQ4_2025,CMG,p2_chipotle,2026-02-03,available,available,partial,available,PRESS RELEASE; EARNINGS CALL TRANSCRIPT,Motley Fool/Insider Monkey
