ticker	report_date	position	gap_pct	net_pnl_pct
MC.PA	2025-07-24	0	-1.1271	-0.0
BA	2025-07-29	0	0.7785	0.0
BCS	2025-07-29	0	-0.4489	-0.0
F	2025-07-30	-1	-0.92	0.82
AAPL	2025-07-31	0	1.5898	0.0
CVS	2025-07-31	0	0.3543	0.0
PFE	2025-08-04	0	3.1449	0.0
AMD	2025-08-05	0	-5.3124	-0.0
UBER	2025-08-05	0	1.7452	0.0
DIS	2025-08-05	0	-2.1467	-0.0
MAR	2025-08-05	-1	-0.1656	0.0656
ABNB	2025-08-06	0	-7.7548	-0.0
NVO	2025-08-06	-1	6.8092	-6.9092
AMKBY	2025-08-07	1	0.8403	0.7403
LOW	2025-08-20	0	-0.4122	-0.0
WMT	2025-08-20	0	-3.0808	-0.0
TGT	2025-08-20	0	-0.2026	-0.0
NVDA	2025-08-27	1	-0.4295	-0.5295
FDX	2025-09-18	-1	0.7947	-0.8947
PEP	2025-10-09	0	0.6358	0.0
GS	2025-10-13	1	-2.8381	-2.9381
C	2025-10-14	1	1.3522	1.2522
BAC	2025-10-14	1	2.9547	2.8547
JPM	2025-10-14	0	1.4268	0.0
SCHW	2025-10-15	1	0.4664	0.3664
UAL	2025-10-15	1	-1.0668	-1.1668
NFLX	2025-10-21	0	-7.9309	-0.0
LMT	2025-10-21	1	0.4024	0.3024
TSLA	2025-10-22	0	-4.3215	-0.0
BCS	2025-10-22	1	1.9656	1.8656
CVS	2025-10-29	1	-5.6079	-5.7079
LLY	2025-10-29	1	2.9464	2.8464
META	2025-10-29	-1	-10.9782	10.8782
BA	2025-10-29	-1	-1.6715	1.5715
MSFT	2025-10-29	1	-2.0441	-2.1441
AMZN	2025-10-30	-1	12.2229	-12.3229
AAPL	2025-10-30	1	2.0597	1.9597
COIN	2025-10-30	1	2.28	2.18
MAR	2025-11-04	0	0.5547	0.0
AMKBY	2025-11-05	1	-5.5877	-5.6877
NVO	2025-11-05	-1	-1.4651	1.3651
ABNB	2025-11-06	1	4.1193	4.0193
DIS	2025-11-12	1	-6.6524	-6.7524
LOW	2025-11-19	-1	-0.1445	0.0445
NVDA	2025-11-19	1	5.0558	4.9558
WMT	2025-11-19	1	3.3098	3.2098
TGT	2025-11-19	-1	0.0929	-0.1929
LULU	2025-12-11	-1	9.3952	-9.4952
FDX	2025-12-18	0	-5.2452	-0.0
BAC	2026-01-13	0	-3.0436	-0.0
JPM	2026-01-13	0	-0.8684	-0.0
C	2026-01-14	1	1.281	1.181
GS	2026-01-14	1	-0.8331	-0.9331
SCHW	2026-01-20	1	0.3367	0.2367
NFLX	2026-01-20	1	-5.432	-5.532
UAL	2026-01-20	1	3.1132	3.0132
BA	2026-01-26	0	-2.387	-0.0
MC.PA	2026-01-27	0	-5.6508	-0.0
IBM	2026-01-28	1	8.0568	7.9568
META	2026-01-28	1	10.2732	10.1732
TSLA	2026-01-28	1	1.4694	1.3694
AAPL	2026-01-29	1	-1.2041	-1.3041
LMT	2026-01-29	1	-0.2426	-0.3426
PFE	2026-02-02	0	-4.8762	-0.0
AMD	2026-02-03	1	-11.1974	-11.2974
LLY	2026-02-03	1	7.1413	7.0413
UBER	2026-02-03	1	-2.9578	-3.0578
PEP	2026-02-03	0	1.2527	0.0
NVO	2026-02-03	-1	-4.672	4.572
AMZN	2026-02-05	-1	-8.9766	8.8766
CVS	2026-02-10	0	0.0	0.0
KO	2026-02-10	0	0.0911	0.0
F	2026-02-10	1	0.3685	0.2685
MAR	2026-02-10	1	-0.2004	-0.3004
MCD	2026-02-11	0	2.0482	0.0
HLT	2026-02-11	1	0.1169	0.0169
ABNB	2026-02-12	1	9.0592	8.9592
COIN	2026-02-12	0	8.9376	0.0
WMT	2026-02-18	0	1.4848	0.0
LOW	2026-02-25	-1	0.1217	-0.2217
LULU	2026-03-17	-1	-0.7723	0.6723
FDX	2026-03-19	1	6.9389	6.8389
GS	2026-04-10	-1	-3.5525	3.4525
JPM	2026-04-14	-1	0.9096	-1.0096
SCHW	2026-04-15	0	-4.4978	-0.0
NFLX	2026-04-16	-1	-10.5947	10.4947
PEP	2026-04-16	-1	-0.0758	-0.0242
IBM	2026-04-22	0	-7.7781	-0.0
TSLA	2026-04-22	-1	-3.1561	3.0561
KO	2026-04-28	0	0.0255	0.0
BCS	2026-04-28	-1	0.4348	-0.5348
HLT	2026-04-28	0	-0.5597	-0.0
AMZN	2026-04-29	1	3.8511	3.7511
LLY	2026-04-29	1	5.5885	5.4885
META	2026-04-29	-1	-7.4426	7.3426
F	2026-04-29	0	-5.6373	-0.0
PFE	2026-05-04	0	1.1027	0.0
AMD	2026-05-05	1	15.2649	15.1649
UBER	2026-05-05	0	6.1823	0.0
CVS	2026-05-06	0	0.1612	0.0
MAR	2026-05-06	0	-0.2924	-0.0
ABNB	2026-05-07	0	-1.6624	-0.0
COIN	2026-05-07	-1	-3.5811	3.4811
MCD	2026-05-07	-1	0.4582	-0.5582
LOW	2026-05-20	-1	-1.4929	1.3929
WMT	2026-05-20	-1	-4.9217	4.8217
TGT	2026-05-20	0	-1.2262	-0.0
LOW	2026-05-21	-1	-0.0874	-0.0126
LULU	2026-06-04	-1	-11.5994	11.4994
FDX	2026-06-23	0	-0.7786	-0.0
PEP	2026-07-09	-1	-1.4507	1.3507
GS	2026-07-13	0	3.7374	0.0
